city,entropy_type,n_total,n_hotspots,n_nonsig,hotspot_mean_dist_m,hotspot_median_dist_m,nonsig_mean_dist_m,nonsig_median_dist_m,hotspot_pct_within_400m,nonsig_pct_within_400m
Sweden - Göteborg,birth,3303,1578,1725,149.57155039040677,125.95289040806827,138.21428258335334,120.0816510638164,97.40177439797212,98.43478260869564
Sweden - Göteborg,income,3303,545,2758,144.61294252925774,117.71040100517627,143.44796602389448,123.98120551238567,97.43119266055047,98.04205946337926
Sweden - Helsingborg,birth,637,179,425,186.5220132205235,170.90071927278,158.3010226432176,138.1867367104477,96.08938547486034,95.76470588235294
Sweden - Helsingborg,income,4523,192,3967,171.99509350252876,147.9672801801066,165.85614213267854,152.24402722823865,96.875,96.64734055961684
Sweden - Linköping,birth,4275,480,3666,202.51277911463822,192.05741076436874,160.60193136895026,142.65394476120477,92.70833333333334,98.09056192034915
Sweden - Linköping,income,4275,493,3346,154.86017667871025,132.41640665120897,162.1931805576019,143.75618893544325,98.58012170385395,97.13090257023312
Sweden - Lund,birth,4570,560,3526,185.51834460248213,154.65841252418377,145.82798564798105,125.5915173466147,91.42857142857143,97.84458309699376
Sweden - Lund,income,714,22,692,143.99070589448198,109.25894848743229,140.50555252198623,118.79161866679549,100.0,98.121387283237
Sweden - Malmö,birth,2136,842,1294,132.13376229298686,113.01000220938184,160.05524192609786,137.98633927551913,98.33729216152018,96.21329211746522
Sweden - Malmö,income,11795,2153,9633,138.66313595665252,124.66026023108533,153.6284951073364,134.23955059939388,99.0710636321412,97.1037060105886
Sweden - Stockholm,birth,22213,3790,17997,125.35049245458897,98.86977134265723,108.76340041422134,96.92214990162667,97.73087071240106,99.59993332222037
Sweden - Stockholm,income,22213,3321,17754,114.65369257377161,94.24620567256476,113.43997686989279,100.09588963337143,98.6449864498645,99.3635237129661
Sweden - Uppsala,birth,1178,576,602,130.07710147433315,109.27248044932787,134.7959145814696,118.68877030533721,97.04861111111111,99.00332225913621
Sweden - Uppsala,income,6902,1025,5652,115.94582453640088,114.34329780848566,139.68621015452698,125.0793351843018,99.70731707317073,98.05378627034678
Sweden - Västerås,birth,4374,843,3510,231.13366538234527,198.3374693998524,179.4393064361191,150.38697168261734,83.62989323843416,94.78632478632478
Sweden - Västerås,income,4374,295,4063,252.90988154621954,244.03941758902053,185.50015243691095,153.8388656478854,82.71186440677965,93.18237755353186
Sweden - Örebro,birth,559,159,400,216.29087479274102,187.33979501612828,165.918029856187,149.4781569430938,93.08176100628931,97.75
Sweden - Örebro,income,559,94,465,220.20090875406996,193.26723583776246,172.16897980997425,155.15680810084626,94.68085106382979,96.7741935483871
US - atlanta,birth,2946,751,2168,1137.2852530307198,175.23306202138355,1070.6391764191735,184.9937679313014,77.23035952063914,73.98523985239852
US - atlanta,income,363,47,309,511.3688813215877,131.20961374048335,541.6494524891106,147.5008685379727,85.1063829787234,87.70226537216828
US - new_york,birth,44848,16956,27292,718.8150905925672,118.59694694631406,392.0374847616363,81.44864059416092,73.31917905166313,88.0221310274073
US - new_york,income,4608,859,3653,133.52641924481853,70.05665490224256,118.18184233376896,81.30396031628827,99.18509895227008,97.91951820421572
US - washington_dc,birth,2176,414,1738,695.0844830851216,198.32316030646854,626.2173423699948,183.43555527076694,71.49758454106279,75.9493670886076
US - washington_dc,income,1759,320,1414,381.7243174020981,190.68742770192617,321.47442062101635,153.85208442961033,74.375,80.33946251768033
