city,country,n_total,n_with_catchment_birth,n_with_catchment_income,pct_with_catchment_birth,pct_with_catchment_income
new_york,US,290270,152987,152987,52.705067695593755,52.705067695593755
washington_dc,US,84650,26584,26584,31.40460720614294,31.40460720614294
atlanta,US,102181,37053,37053,36.26212309529169,36.26212309529169
Lund,Sweden,4900,4824,4824,98.44897959183673,98.44897959183673
Stockholm,Sweden,35948,35842,35842,99.70512963169021,99.70512963169021
Södertälje,Sweden,2962,2858,2858,96.48885887913572,96.48885887913572
Linköping,Sweden,5634,5311,5311,94.26695065672702,94.26695065672702
Helsingborg,Sweden,5488,5275,5275,96.11880466472303,96.11880466472303
Örebro,Sweden,5657,5407,5407,95.5806964822344,95.5806964822344
Norrköping,Sweden,4652,4353,4353,93.57265692175409,93.57265692175409
Växjö,Sweden,3325,3236,3236,97.32330827067669,97.32330827067669
Karlstad,Sweden,3902,3670,3670,94.05433111225013,94.05433111225013
Västerås,Sweden,5666,5263,5263,92.88739851747265,92.88739851747265
Borås,Sweden,3500,3408,3408,97.37142857142857,97.37142857142857
Uppsala,Sweden,8170,7933,7933,97.09914320685435,97.09914320685435
Eskilstuna,Sweden,3419,3078,3078,90.02632348639953,90.02632348639953
Malmö,Sweden,12680,12610,12610,99.44794952681389,99.44794952681389
Jönköping,Sweden,3728,3601,3601,96.59334763948497,96.59334763948497
Trollhättan,Sweden,2217,2005,2005,90.43752819124944,90.43752819124944
Göteborg,Sweden,16806,16685,16685,99.28001904081876,99.28001904081876
Halmstad,Sweden,3816,3614,3614,94.70649895178197,94.70649895178197
