city,city_key,country,dimension,n_with,n_without,res_mean_with,res_mean_without,res_diff,p_mannwhitney
New York,new_york,US,Birth,152747,136289,0.8226875051415357,0.6979001749712277,0.12478733017030796,0.0
New York,new_york,US,Income,113053,32559,0.8748257548533896,0.8725817282503784,0.002244026603011262,2.0726160623845046e-06
Washington DC,washington_dc,US,Birth,26584,57715,0.8233619667189132,0.6803214578943,0.14304050882461317,0.0
Washington DC,washington_dc,US,Income,20352,38070,0.8001010691855871,0.8480359612826126,-0.047934892097025505,0.0
Atlanta,atlanta,US,Birth,37053,65128,0.590533152429077,0.5618472765622348,0.028685875866842236,7.86247711973599e-62
Atlanta,atlanta,US,Income,34781,33777,0.8886060880182497,0.887841859639943,0.0007642283783066972,0.0401306660338112
Borås,Borås,Sweden,Birth,3408,92,0.6262623935322855,0.37529476009809665,0.2509676334341889,3.670342371857209e-17
Borås,Borås,Sweden,Income,3408,92,0.969765679259393,0.9836616277520607,-0.01389594849266762,0.6882737199881108
Eskilstuna,Eskilstuna,Sweden,Birth,3078,341,0.7222939521120944,0.2622247935832907,0.46006915852880365,5.099066739344295e-168
Eskilstuna,Eskilstuna,Sweden,Income,3078,341,0.9568436385345511,0.9869716723627782,-0.03012803382822704,1.847618052247658e-21
Gothenburg,Göteborg,Sweden,Birth,16685,121,0.5754688611398173,0.30920377034947105,0.26626509079034627,5.065294901213063e-43
Gothenburg,Göteborg,Sweden,Income,16685,121,0.9605759764546709,0.9591794717995079,0.0013965046551629445,0.07496372719767229
Halmstad,Halmstad,Sweden,Birth,3614,202,0.45560992742428036,0.41620088288561463,0.03940904453866573,4.9855173491093e-10
Halmstad,Halmstad,Sweden,Income,3614,202,0.9627689440266908,0.9526615577350058,0.01010738629168495,0.1533964106474926
Helsingborg,Helsingborg,Sweden,Birth,5275,213,0.613581353064697,0.5087299288764774,0.10485142418821958,6.8574549561984525e-12
Helsingborg,Helsingborg,Sweden,Income,5275,213,0.9623568687366715,0.9756216792451724,-0.013264810508500924,0.0021934530741539735
Jönköping,Jönköping,Sweden,Birth,3601,127,0.5031043871519987,0.2328087264122707,0.270295660739728,3.010792777949084e-51
Jönköping,Jönköping,Sweden,Income,3601,127,0.9725036619940279,0.9801075247186998,-0.007603862724671839,0.00022290242209742136
Karlstad,Karlstad,Sweden,Birth,3670,232,0.4013267306086344,0.22713878137667776,0.17418794923195663,1.3719118294213224e-49
Karlstad,Karlstad,Sweden,Income,3670,232,0.9672419232829262,0.9863380537607336,-0.019096130477807338,3.3021537126221106e-05
Linköping,Linköping,Sweden,Birth,5311,323,0.5387472560958246,0.32396404753626534,0.2147832085595593,6.689503138362835e-68
Linköping,Linköping,Sweden,Income,5311,323,0.9450213471499022,0.9492166855422078,-0.004195338392305681,1.295108710540952e-06
Lund,Lund,Sweden,Birth,4824,76,0.5607708394163068,0.32771904422765347,0.23305179518865332,2.664486561805779e-33
Lund,Lund,Sweden,Income,4824,76,0.9274200677646084,0.9653765230940902,-0.037956455329481775,0.004424517013036844
Malmö,Malmö,Sweden,Birth,12610,70,0.6727093014500615,0.6223962609952097,0.05031304045485174,0.023895340523454038
Malmö,Malmö,Sweden,Income,12610,70,0.9517278609153256,0.9691257293107646,-0.017397868395438998,0.004818472683822512
Norrköping,Norrköping,Sweden,Birth,4353,299,0.5536844677703825,0.35423874512593184,0.19944572264445065,5.724404861179434e-60
Norrköping,Norrköping,Sweden,Income,4353,299,0.9699613955884355,0.9811753445107922,-0.01121394892235672,6.108510930404758e-08
Stockholm,Stockholm,Sweden,Birth,35842,106,0.453632980771831,0.31861109961917705,0.13502188115265396,1.8610798188156167e-33
Stockholm,Stockholm,Sweden,Income,35842,106,0.9114400266488217,0.9646436426466095,-0.05320361599778778,2.7643666214945657e-27
Södertälje,Södertälje,Sweden,Birth,2858,104,0.8770598287886189,0.5482849194157583,0.3287749093728606,6.230330526356723e-23
Södertälje,Södertälje,Sweden,Income,2858,104,0.970926875084518,0.9848701376500155,-0.013943262565497494,0.656212705291725
Trollhättan,Trollhättan,Sweden,Birth,2005,212,0.48204962158102366,0.21660936216913415,0.26544025941188953,4.126314908474748e-74
Trollhättan,Trollhättan,Sweden,Income,2005,212,0.9709327319808755,0.9847309473980573,-0.013798215417181847,9.018512030194575e-07
Uppsala,Uppsala,Sweden,Birth,7933,237,0.5387131513169842,0.32860546504857885,0.2101076862684053,9.665228180705662e-69
Uppsala,Uppsala,Sweden,Income,7933,237,0.9492708280136527,0.9559737630868083,-0.006702935073155558,2.7074430983335963e-06
Västerås,Västerås,Sweden,Birth,5263,403,0.6011545075013611,0.2327545821253089,0.36839992537605226,8.417905828918141e-185
Västerås,Västerås,Sweden,Income,5263,403,0.9646340476743994,0.9537797092157944,0.010854338458605062,6.204204168075103e-17
Växjö,Växjö,Sweden,Birth,3236,89,0.489234454353192,0.24495995243732074,0.24427450191587127,4.524436130329054e-32
Växjö,Växjö,Sweden,Income,3236,89,0.9582240112022978,0.9786485976272431,-0.020424586424945268,0.3246897351692454
Örebro,Örebro,Sweden,Birth,5407,250,0.4798394172745316,0.2628151826135989,0.21702423466093274,3.377967823182436e-74
Örebro,Örebro,Sweden,Income,5407,250,0.9654942901927039,0.9817054926020826,-0.016211202409378678,0.05289595567901321
